lon,lat,square,cost,category,street,ward,district,city,url
21.04027,105.77468,60,Secret,can-ho-ban-chung-cu-3529,Scitech Tower 304 Hồ Tùng Mậu  ,Phường Mai Dịch,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-can-ban-can-60-8m2-chung-cu-scitech-towe-6328117
10.75170,106.56463,54,Secret,can-ho-ban-chung-cu-3529,"4449 Nguyễn Cửu Phú, phường Tân Tạo A, quận Bình Tân, TPHCM ",Phường Tân Tạo A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ch-tecco-gan-kdc-ten-lua-chi-tu-790tr-can-54m-2pn-6007500
0.0,0.0,63,Secret,can-ho-ban-chung-cu-3529,Khu dân cư Vĩnh Lộc ,Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-binh-tan-gia-chi-19tr-m2-tieu-chuan-han-quo-6298590
10.75170,106.56463,54,Secret,can-ho-ban-chung-cu-3529, ,Phường Tân Tạo A,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/khu-phuc-hop-can-ho-tecco-town-lon-nhat-binh-tan-g-6220287
10.83170,106.75614,65,Secret,can-ho-ban-chung-cu-3529, ,Phường Trường Thọ,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-ngay-ga-metro-so-10-so-huu-ho-boi-tran-bo-5212771
10.80030,106.59270,68,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tra-gop-10-trieu-thang-so-huu-can-ho-trung-tam-khu-6319271
10.69909,106.65221,108,Secret,can-ho-ban-chung-cu-3529, ,Xã Phong Phú,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-voi-950tr-da-so-huu-can-ho-2pn-view-quan-1u-6191573
0.0,0.0,63,Secret,can-ho-ban-chung-cu-3529,Khu dân cư Vĩnh Lộc ,Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-tai-binh-tan-chi-19tr-m2-can-ho-gia-6298566
0.0,0.0,50,Secret,can-ho-ban-chung-cu-cao-cap-3530,Đường Nguyễn Thị Tú ,Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-chi-16-5-trieu-m2-co-4-mat-tien-duong-thong-5890502
10.80030,106.59270,68,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/so-huu-ngay-1-can-ho-greentown-binh-tan-chi-voi-30-6319021
21.01404,105.78867,44,Secret,can-ho-ban-chung-cu-3529,Khu đô thị Nam Trung Yên Trung Hoà ,Phường Yên Hòa,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-can-ho-tai-dinh-cu-tai-toa-21t2-a14b2-nam-6330549
21.03893,105.79386,45,Secret,can-ho-ban-chung-cu-3529, ,Phường Quan Hoa,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chung-cu-mini-68-cau-giay-full-noi-that-gia-re-o-n-6159602
10.75313,106.64656,68,Secret,can-ho-ban-chung-cu-3529, ,Phường 06,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/suat-noi-bo-10-can-cuoi-cung-chcc-mt-ta-quang-buu-5885650
10.72090,106.65686,75,Secret,can-ho-ban-chung-cu-3529,Việt Nam Bình Hưng ,Xã Phong Phú,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/so-huu-ngay-can-ho-thong-minh-saigon-intela-2pn-2w-6327514
10.69909,106.65221,57,Secret,can-ho-ban-chung-cu-3529, ,Xã Phong Phú,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/sang-nhuong-can-ho-conic-skyway-1pn-57m2-950-trieu-5845151
10.82310,106.62966,74,Secret,can-ho-ban-chung-cu-3529,Nguyễn Văn Quá Quận 12 ,Tân Hưng Thuận,Quận 12,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-chung-cu-an-ninh-tuyet-doi-6315817
10.80801,106.73241,101,Secret,can-ho-ban-chung-cu-3529,39 Đường Số 66 ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chinh-chu-can-ban-can-ho-101m-toa-a2-tropic-garden-6066820
10.83170,106.75614,50,Secret,can-ho-ban-chung-cu-3529,Đường số 1 Trường Thọ ,Phường Trường Thọ,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-lavita-charm-thu-duc-dt-67m2-gia-1-5-ty-6233805
10.84504,106.76858,56,Secret,can-ho-ban-chung-cu-3529, ,Phường Bình Thọ,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/co-nen-mua-can-ho-moonlight-garden-nga-tu-binh-tha-5943216
10.80030,106.59270,68,Secret,can-ho-ban-chung-cu-3529,"Lô 5 Khu dân cư Vĩnh Lộc, phường Bình Hưng Hòa B, Quận Bình Tân. TP.HCM ",Phường Bình Hưng Hoà B,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mua-nha-dep-trung-xe-sang-tang-vang-rong-6316926
10.72051,106.62091,66,Secret,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-250tr-so-huu-can-ho-3-mat-view-song-ngay-vo-va-6327544
10.69909,106.65221,48,Secret,can-ho-ban-chung-cu-3529, ,Xã Phong Phú,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-thong-minh-tich-hop-cong-nghe-dau-tien-tai-6287181
0.0,0.0,57,Secret,can-ho-ban-chung-cu-3529,1 Tạ Quang Bửu ,Phường 06,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-cao-cap-tara-residence-6260310
10.83050,106.61701,63,Secret,can-ho-ban-chung-cu-3529,Trường Chinh Hồ Chí Minh ,Phường Tân Thới Nhất,Quận 12,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-8x-plus-truong-chinh-q12-va-toan-bo-noi-6285321
21.02328,105.79316,88,Secret,can-ho-ban-chung-cu-3529, ,Phường Yên Hòa,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-3-phong-ngu-quan-cau-giay-trung-kinh-gia-2-6253063
10.83170,106.75614,68,Secret,can-ho-ban-chung-cu-cao-cap-3530, ,Phường Trường Thọ,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ho-ngay-ga-metro-ben-thanh-suoi-tien-4924719
10.73375,106.68962,53,Secret,can-ho-ban-chung-cu-3529,Đường số 9A Bình Hưng ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/so-huu-ngay-can-ho-cao-cap-kdc-trung-son-chi-voi-1-6325726
10.71524,106.65225,44,Secret,can-ho-ban-chung-cu-3529, ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/o-dau-lam-gi-khi-chua-co-nha-tai-tp-hcm-hien-dai-c-6235180
10.80801,106.73241,76,Secret,can-ho-cho-thue-chung-cu-cao-cap-3551, ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-cao-cap-3551/can-ho-tropic-garden-q2-dang-trong-can-cho-thue-17-6020019
21.00673,105.79551,55,Secret,can-ho-ban-chung-cu-3529, ,Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-1-ngu-dt-55m2-toa-c1-chung-cu-vinhomes-6023907
10.71457,106.65242,44,Secret,can-ho-ban-chung-cu-3529, ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-thong-minh-smarthome-sai-gon-intela-mo-ban-6208950
10.72051,106.62091,54,Secret,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chi-900tr-nhan-can-ho-cao-cap-2-phong-ngu-ngay-mt-6290567
10.81640,106.63211,64,Secret,can-ho-ban-chung-cu-3529,Trường Chinh Hồ Chí Minh ,Phường Tân Thới Nhất,Quận 12,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-8xplus-64m2-2pn-noi-that-gia-1-35-ty-6314542
10.72051,106.62091,50,Secret,can-ho-ban-chung-cu-3529, ,Phường 16,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chcc-heven-riverview-tt-q8-dai-lo-vo-van-kiet-gia-6288216
10.83074,106.78870,60,Secret,can-ho-ban-chung-cu-3529, ,Phường Tăng Nhơn Phú B,Quận 9,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-gia-re-ngay-trung-tam-quan-9-gan-nga-tu-bin-6204882
10.80801,106.73241,106,Secret,can-ho-ban-chung-cu-cao-cap-3530,Quận 2 Hồ Chí Minh ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-can-tropic-garden-106m2-3pn-gia-3-7-ty-5077259
10.73375,106.68962,53,Secret,can-ho-ban-chung-cu-3529,Đường số 9A Bình Hưng ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/saigonmia-tang-noi-that-malloca-cao-cap-ck-len-den-6327927
10.72182,106.66152,40,Secret,can-ho-ban-chung-cu-3529, ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-nha-o-xa-hoi-ehome-s-binh-chanh-tp-hcm-gia-6257850
12.24124,109.19406,48,Secret,can-ho-ban-chung-cu-3529,02 Trần Hưng Đạo ,Phường Lộc Thọ,Thành phố Nha Trang,Khánh Hoà,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/condotel-gold-coast-nha-trang-so-hong-vinh-vien-nh-6310904
10.71710,106.66993,44,Secret,can-ho-ban-chung-cu-3529, ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/o-dau-lam-gi-khi-chua-co-nha-tai-tp-hcm-hien-dai-c-6235089
10.83170,106.75614,69,Secret,can-ho-ban-chung-cu-3529,Đường số 3 ,Phường Trường Thọ,Quận Thủ Đức,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ban-lai-can-ho-lavita-garden-gia-1-5-ty-5561190
21.00659,105.79562,72,Secret,can-ho-ban-chung-cu-3529,Trần Duy Hưng Hà Nội ,Phường Trung Hoà,Quận Cầu Giấy,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mua-can-ho-chung-cu-vinhomes-d-capitale-gia-tu-320-5985589
10.83050,106.61701,65,Secret,can-ho-cho-thue-chung-cu-3550,Trường Chinh Hồ Chí Minh ,Phường Tân Thới Nhất,Quận 12,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-3550/cho-thue-can-ho-8xplus-65m2-2pn-nt-gia-8-5tr-th-6130988
10.80801,106.73241,88,Secret,can-ho-cho-thue-chung-cu-3550, ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-cho-thue-chung-cu-3550/cho-thue-can-ho-tropic-garden-quan-2-2pn-va-3pn-da-6305379
10.95430,106.49358,220,Secret,can-ho-ban-chung-cu-cao-cap-3530,66 Đường ,Phường Thảo Ðiền,Quận 2,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/toi-can-ban-can-penthouse-tropic-garden-220m2-3pn-6315506
12.24787,109.19520,52,Secret,can-ho-ban-chung-cu-3529,"01 Trần Hưng Đạo, phường lộc thọ, TP. Nha Trang ",Phường Lộc Thọ,Thành phố Nha Trang,Khánh Hoà,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-goldcoast-mt-bien-tran-phu-so-hong-vinh-vie-6300512
10.72852,106.61238,27,Secret,can-ho-ban-chung-cu-3529,Lý Chiêu Hoàng phường 10 ,Phường An Lạc,Quận Bình Tân,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/tin-nong-nhat-thi-truong-bds-480tr-can-6051636
10.82127,106.77212,86,Secret,can-ho-ban-chung-cu-cao-cap-3530,Tăng Nhơn Phú B Quận 9 ,Phường Phước Long B,Quận 9,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/can-ban-gap-can-ho-3pn-du-an-9-view-gia-1-7-ty-bao-6164767
10.72051,106.62091,55,Secret,can-ho-ban-chung-cu-3529,Đường số 44 phường 16 ,Phường 16,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/so-huu-ngay-can-ho-view-3-mat-song-phap-ly-day-du-6176467
10.71710,106.66993,56,Secret,can-ho-ban-chung-cu-3529, ,Xã Bình Hưng,Huyện Bình Chánh,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-flora-mizuki-park-so-huu-vi-tri-dac-dia-tai-6242026
10.82127,106.77212,86,Secret,can-ho-ban-chung-cu-3529,"tăn nhơn phú, phường phước long B, quận 9, tp hcm ",Phường Phước Long B,Quận 9,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ch-q-9-gia-1-3ty-86m2-ck3-5130807
21.00580,105.77947,80,Secret,can-ho-ban-chung-cu-3529, ,Phường Mễ Trì,Quận Nam Từ Liêm,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/mo-ban-nhung-can-shop-house-cua-vinhomes-me-tri-5723414
10.70815,106.73828,54,Secret,can-ho-ban-chung-cu-3529, ,Phường Phú Mỹ,Quận 7,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/can-ho-view-song-dang-cap-lien-ke-phu-my-hung-gia-5910635
10.79126,106.63415,77,Secret,can-ho-ban-chung-cu-cao-cap-3530,Âu Cơ Hồ Chí Minh ,Phường Tân Thạnh,Quận Tân Phú,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-cao-cap-3530/2pn2wc-2-ty-thang-06-2017-5178477
21.00438,105.80239,60,Secret,can-ho-ban-chung-cu-3529, ,Phường Cầu Diễn,Quận Nam Từ Liêm,TP.Hà Nội,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/ban-can-ho-2-phong-ngu-chung-cu-vinhomes-5415251
10.72051,106.62091,56,Secret,can-ho-ban-chung-cu-3529,192 phường 16 quận 8 ,Phường 16,Quận 8,TP.Hồ Chí Minh,http://www.muabannhadat.vn/can-ho-ban-chung-cu-3529/chung-cu-my-phuc-quan-8-huong-view-nhin-ra-bitexco-6321204
